id,rank,country,capital,continent,area_km2
1,36,Afghanistan,Kabul,Asia,652230
2,138,Albania,Tirana,Europe,28748
3,34,Algeria,Algiers,Africa,2381741
4,213,American Samoa,Pago Pago,Oceania,199
5,203,Andorra,Andorra la Vella,Europe,468
6,42,Angola,Luanda,Africa,1246700
7,224,Anguilla,The Valley,North America,91
8,201,Antigua and Barbuda,Saint John’s,North America,442
9,33,Argentina,Buenos Aires,South America,2780400
10,140,Armenia,Yerevan,Asia,29743
11,198,Aruba,Oranjestad,North America,180
12,55,Australia,Canberra,Oceania,7692024
13,99,Austria,Vienna,Europe,83871
14,91,Azerbaijan,Baku,Asia,86600
15,176,Bahamas,Nassau,North America,13943
16,154,Bahrain,Manama,Asia,765
17,8,Bangladesh,Dhaka,Asia,147570
18,186,Barbados,Bridgetown,North America,430
19,96,Belarus,Minsk,Europe,207600
20,81,Belgium,Brussels,Europe,30528
21,177,Belize,Belmopan,North America,22966
22,77,Benin,Porto-Novo,Africa,112622
23,206,Bermuda,Hamilton,North America,54
24,165,Bhutan,Thimphu,Asia,38394
25,80,Bolivia,Sucre,South America,1098581
26,137,Bosnia and Herzegovina,Sarajevo,Europe,51209
27,144,Botswana,Gaborone,Africa,582000
28,7,Brazil,Brasilia,South America,8515767
29,221,British Virgin Islands,Road Town,North America,151
30,175,Brunei,Bandar Seri Begawan,Asia,5765
31,108,Bulgaria,Sofia,Europe,110879
32,58,Burkina Faso,Ouagadougou,Africa,272967
33,78,Burundi,Bujumbura,Africa,27834
34,73,Cambodia,Phnom Penh,Asia,181035
35,53,Cameroon,Yaounde,Africa,475442
36,39,Canada,Ottawa,North America,9984670
37,171,Cape Verde,Praia,Africa,4033
38,205,Cayman Islands,George Town,North America,264
39,117,Central African Republic,Bangui,Africa,622984
40,69,Chad,N'Djamena,Africa,1284000
41,65,Chile,Santiago,South America,756102
42,1,China,Beijing,Asia,9706961
43,28,Colombia,Bogota,South America,1141748
44,163,Comoros,Moroni,Africa,1862
45,223,Cook Islands,Avarua,Oceania,236
46,124,Costa Rica,San José,North America,51100
47,130,Croatia,Zagreb,Europe,56594
48,85,Cuba,Havana,North America,109884
49,189,Curacao,Willemstad,North America,444
50,158,Cyprus,Nicosia,Europe,9251
51,88,Czech Republic,Prague,Europe,78865
52,115,Denmark,Copenhagen,Europe,43094
53,160,Djibouti,Djibouti,Africa,23200
54,204,Dominica,Roseau,North America,751
55,84,Dominican Republic,Santo Domingo,North America,48671
56,15,DR Congo,Kinshasa,Africa,2344858
57,67,Ecuador,Quito,South America,276841
58,14,Egypt,Cairo,Africa,1002450
59,112,El Salvador,San Salvador,North America,21041
60,152,Equatorial Guinea,Malabo,Africa,28051
61,132,Eritrea,Asmara,Africa,117600
62,156,Estonia,Tallinn,Europe,45227
63,159,Eswatini,Mbabane,Africa,17364
64,12,Ethiopia,Addis Ababa,Africa,1104300
65,231,Falkland Islands,Stanley,South America,12173
