id,country_id,year,population
0,1,2022,41128771
1,1,2020,38972230
2,1,2015,33753499
3,1,2010,28189672
4,1,2000,19542982
5,1,1990,10694796
6,1,1980,12486631
7,2,2022,2842321
8,2,2020,2866849
9,2,2015,2882481
10,2,2010,2913399
11,2,2000,3182021
12,2,1990,3295066
13,2,1980,2941651
14,3,2022,44903225
15,3,2020,43451666
16,3,2015,39543154
17,3,2010,35856344
18,3,2000,30774621
19,3,1990,25518074
20,3,1980,18739378
21,4,2022,44273
22,4,2020,46189
23,4,2015,51368
24,4,2010,54849
25,4,2000,58230
26,4,1990,47818
27,4,1980,32886
28,5,2022,79824
29,5,2020,77700
30,5,2015,71746
31,5,2010,71519
32,5,2000,66097
33,5,1990,53569
34,5,1980,35611
35,6,2022,35588987
36,6,2020,33428485
37,6,2015,28127721
38,6,2010,23364185
39,6,2000,16394062
40,6,1990,11828638
41,6,1980,8330047
42,7,2022,15857
43,7,2020,15585
44,7,2015,14525
45,7,2010,13172
46,7,2000,11047
47,7,1990,8316
48,7,1980,6560
49,8,2022,93763
50,8,2020,92664
51,8,2015,89941
52,8,2010,85695
53,8,2000,75055
54,8,1990,63328
55,8,1980,64888
56,9,2022,45510318
57,9,2020,45036032
58,9,2015,43257065
59,9,2010,41100123
60,9,2000,37070774
61,9,1990,32637657
62,9,1980,28024803
63,10,2022,2780469
64,10,2020,2805608
65,10,2015,2878595
66,10,2010,2946293
67,10,2000,3168523
68,10,1990,3556539
69,10,1980,3135123
70,11,2022,106445
71,11,2020,106585
72,11,2015,104257
73,11,2010,100341
74,11,2000,89101
75,11,1990,65712
76,11,1980,62267
77,12,2022,26177413
78,12,2020,25670051
79,12,2015,23820236
80,12,2010,22019168
81,12,2000,19017963
82,12,1990,17048003
83,12,1980,14706322
84,13,2022,8939617
85,13,2020,8907777
86,13,2015,8642421
87,13,2010,8362829
88,13,2000,8010428
89,13,1990,7678729
90,13,1980,7547561
91,14,2022,10358074
92,14,2020,10284951
93,14,2015,9863480
94,14,2010,9237202
95,14,2000,8190337
96,14,1990,7427836
97,14,1980,6383060
98,15,2022,409984
99,15,2020,406471
100,15,2015,392697
101,15,2010,373272
102,15,2000,325014
103,15,1990,270679
104,15,1980,223752
105,16,2022,1472233
106,16,2020,1477469
107,16,2015,1362142
108,16,2010,1213645
109,16,2000,711442
110,16,1990,517418
111,16,1980,362595
112,17,2022,171186372
113,17,2020,167420951
114,17,2015,157830000
115,17,2010,148391139
116,17,2000,129193327
117,17,1990,107147651
118,17,1980,83929765
119,18,2022,281635
120,18,2020,280693
121,18,2015,278083
122,18,2010,274711
123,18,2000,264657
124,18,1990,258868
125,18,1980,253575
126,19,2022,9534954
127,19,2020,9633740
128,19,2015,9700609
129,19,2010,9731427
130,19,2000,10256483
131,19,1990,10428525
132,19,1980,9817257
133,20,2022,11655930
134,20,2020,11561717
135,20,2015,11248303
136,20,2010,10877947
137,20,2000,10264343
138,20,1990,9959560
139,20,1980,9828986
140,21,2022,405272
141,21,2020,394921
142,21,2015,359871
143,21,2010,322106
144,21,2000,240406
145,21,1990,182589
146,21,1980,145133
147,22,2022,13352864
148,22,2020,12643123
149,22,2015,10932783
150,22,2010,9445710
151,22,2000,6998023
152,22,1990,5133419
153,22,1980,3833939
154,23,2022,64184
155,23,2020,64031
156,23,2015,63144
157,23,2010,63447
158,23,2000,61371
159,23,1990,57470
160,23,1980,53565
161,24,2022,782455
162,24,2020,772506
163,24,2015,743274
164,24,2010,705516
165,24,2000,587207
166,24,1990,558442
167,24,1980,415257
168,25,2022,12224110
169,25,2020,11936162
170,25,2015,11090085
171,25,2010,10223270
172,25,2000,8592656
173,25,1990,7096194
174,25,1980,5736088
175,26,2022,3233526
176,26,2020,3318407
177,26,2015,3524324
178,26,2010,3811088
179,26,2000,4179350
180,26,1990,4494310
181,26,1980,4199820
182,27,2022,2630296
183,27,2020,2546402
184,27,2015,2305171
185,27,2010,2091664
186,27,2000,1726985
187,27,1990,1341474
188,27,1980,938578
189,28,2022,215313498
190,28,2020,213196304
191,28,2015,205188205
192,28,2010,196353492
193,28,2000,175873720
194,28,1990,150706446
195,28,1980,122288383
196,29,2022,31305
197,29,2020,30910
198,29,2015,29366
199,29,2010,27556
200,29,2000,20104
201,29,1990,15617
202,29,1980,11109
203,30,2022,449002
204,30,2020,441725
205,30,2015,421437
206,30,2010,396053
207,30,2000,333926
208,30,1990,261928
209,30,1980,187921
210,31,2022,6781953
211,31,2020,6979175
212,31,2015,7309253
213,31,2010,7592273
214,31,2000,8097691
215,31,1990,8767778
216,31,1980,8980606
217,32,2022,22673762
218,32,2020,21522626
219,32,2015,18718019
220,32,2010,16116845
221,32,2000,11882888
